PERMNO,date,TICKER,COMNAM,CUSIP,PRC,RET,SHROUT,vwretd,ewretd
92585,02/01/2016,ACWI,ISHARES TRUST,46428825,52.76000,-0.001892,103600,-0.000364,-0.001291
92585,02/02/2016,ACWI,ISHARES TRUST,46428825,51.64000,-0.021228,102800,-0.019991,-0.018992
92585,02/03/2016,ACWI,ISHARES TRUST,46428825,52.04000,0.007746,102800,0.005753,0.005892
92585,02/04/2016,ACWI,ISHARES TRUST,46428825,52.19000,0.002882,102800,0.003648,0.007494
92585,02/05/2016,ACWI,ISHARES TRUST,46428825,51.32000,-0.016670,102800,-0.019598,-0.017773
92585,02/08/2016,ACWI,ISHARES TRUST,46428825,50.48000,-0.016368,102800,-0.016936,-0.019848
92585,02/09/2016,ACWI,ISHARES TRUST,46428825,50.20000,-0.005547,102800,-0.003060,-0.010323
92585,02/10/2016,ACWI,ISHARES TRUST,46428825,50.19000,-0.000199,102800,0.000263,-0.000344
92585,02/11/2016,ACWI,ISHARES TRUST,46428825,49.52000,-0.013349,102000,-0.011966,-0.010969
92585,02/12/2016,ACWI,ISHARES TRUST,46428825,50.39000,0.017569,102000,0.020123,0.017366
92585,02/16/2016,ACWI,ISHARES TRUST,46428825,51.40000,0.020044,102000,0.017667,0.018591
92585,02/17/2016,ACWI,ISHARES TRUST,46428825,52.33000,0.018093,101000,0.018097,0.020480
92585,02/18/2016,ACWI,ISHARES TRUST,46428825,52.11000,-0.004204,99600,-0.004200,-0.003088
92585,02/19/2016,ACWI,ISHARES TRUST,46428825,52.02000,-0.001727,99600,-0.000227,-0.000181
92585,02/22/2016,ACWI,ISHARES TRUST,46428825,52.75000,0.014033,99600,0.014319,0.014135
92585,02/23/2016,ACWI,ISHARES TRUST,46428825,51.97000,-0.014787,99600,-0.011791,-0.010414
92585,02/24/2016,ACWI,ISHARES TRUST,46428825,52.05000,0.001539,99400,0.004971,0.005398
92585,02/25/2016,ACWI,ISHARES TRUST,46428825,52.61000,0.010759,98600,0.011049,0.006032
92585,02/26/2016,ACWI,ISHARES TRUST,46428825,52.48000,-0.002471,98600,0.000277,0.006824
92585,02/29/2016,ACWI,ISHARES TRUST,46428825,52.20000,-0.005335,98600,-0.005923,0.001120
92585,03/01/2016,ACWI,ISHARES TRUST,46428825,53.48000,0.024521,98600,0.022382,0.015671
92585,03/02/2016,ACWI,ISHARES TRUST,46428825,53.82000,0.006358,98600,0.005687,0.012928
92585,03/03/2016,ACWI,ISHARES TRUST,46428825,54.22000,0.007432,98600,0.005601,0.011139
92585,03/04/2016,ACWI,ISHARES TRUST,46428825,54.56000,0.006271,98600,0.004156,0.009364
92585,03/07/2016,ACWI,ISHARES TRUST,46428825,54.60000,0.000733,98600,0.003229,0.015467
