PERMNO,date,TICKER,COMNAM,CUSIP,HSICIG,PRC,RET,SHROUT,vwretd,ewretd
84398,30/12/2016,SPY,SPDR S & P 500 E T F TRUST,78462F10,,223.53000,0.020324,1004882,0.018775,0.015889
84398,31/01/2017,SPY,SPDR S & P 500 E T F TRUST,78462F10,,227.53000,0.017895,1002282,0.022177,0.025931
84398,28/02/2017,SPY,SPDR S & P 500 E T F TRUST,78462F10,,236.47000,0.039292,995182,0.032638,0.017130
84398,31/03/2017,SPY,SPDR S & P 500 E T F TRUST,78462F10,,235.74001,0.001282,1022832,0.002089,0.006390
84398,28/04/2017,SPY,SPDR S & P 500 E T F TRUST,78462F10,,238.08000,0.009926,997332,0.009612,0.003684
84398,31/05/2017,SPY,SPDR S & P 500 E T F TRUST,78462F10,,241.44000,0.014113,974732,0.009340,-0.011327
84398,30/06/2017,SPY,SPDR S & P 500 E T F TRUST,78462F10,,241.80000,0.006391,978982,0.009460,0.022916
84398,31/07/2017,SPY,SPDR S & P 500 E T F TRUST,78462F10,,246.77000,0.020554,977782,0.020327,0.009110
84398,31/08/2017,SPY,SPDR S & P 500 E T F TRUST,78462F10,,247.49001,0.002918,998132,0.001591,-0.008749
84398,29/09/2017,SPY,SPDR S & P 500 E T F TRUST,78462F10,,251.23000,0.020100,966882,0.023704,0.046757
84398,31/10/2017,SPY,SPDR S & P 500 E T F TRUST,78462F10,,257.14999,0.023564,988532,0.019264,0.002211
84398,30/11/2017,SPY,SPDR S & P 500 E T F TRUST,78462F10,,265.01001,0.030566,958232,0.027269,0.020836
84398,29/12/2017,SPY,SPDR S & P 500 E T F TRUST,78462F10,,266.85999,0.012080,1043032,0.012163,0.014220
86449,31/01/2000,XLB,SECTOR SPDR TRUST,81369Y10,,23.32813,-0.122281,5250,-0.039607,0.050642
86449,29/02/2000,XLB,SECTOR SPDR TRUST,81369Y10,,20.98438,-0.100469,5250,0.031782,0.120481
86449,31/03/2000,XLB,SECTOR SPDR TRUST,81369Y10,,23.04688,0.100881,5250,0.053499,-0.000464
86449,28/04/2000,XLB,SECTOR SPDR TRUST,81369Y10,,22.28125,-0.033220,5250,-0.059527,-0.088473
86449,31/05/2000,XLB,SECTOR SPDR TRUST,81369Y10,,21.57813,-0.031557,5250,-0.038870,-0.057337
86449,30/06/2000,XLB,SECTOR SPDR TRUST,81369Y10,,19.64063,-0.085177,5250,0.051603,0.079304
86449,31/07/2000,XLB,SECTOR SPDR TRUST,81369Y10,,19.81250,0.008751,5250,-0.017712,-0.019303
86449,31/08/2000,XLB,SECTOR SPDR TRUST,81369Y10,,20.26563,0.022871,500,0.075007,0.059300
86449,29/09/2000,XLB,SECTOR SPDR TRUST,81369Y10,,18.15625,-0.098666,5000,-0.051144,-0.040045
86449,31/10/2000,XLB,SECTOR SPDR TRUST,81369Y10,,19.76563,0.088640,5000,-0.024495,-0.066833
86449,30/11/2000,XLB,SECTOR SPDR TRUST,81369Y10,,19.26563,-0.025296,5000,-0.102373,-0.118569
86449,29/12/2000,XLB,SECTOR SPDR TRUST,81369Y10,,21.42188,0.145118,5000,0.020423,-0.007053
86449,31/01/2001,XLB,SECTOR SPDR TRUST,81369Y10,,20.85000,-0.026696,5000,0.039599,0.225038
